symbol;return_2018;return_2019
MSFT;0,20795278721250554;0,57558100003405221
AAPL;-0,05390178964733605;0,88957801064260034
AMZN;0,28431683433109711;0,23027756991021753
FB;-0,25711214552994988;0,56571825663950714
GOOG;-0,01031158137664567;0,29104589504320000
JNJ;-0,05131475551954634;0,16220032347887758
V;0,16487574336142674;0,43327021451778069
JPM;-0,06623791241155252;0,47257039608208440
INTC;0,04226505629652566;0,30711977042756056
MA;0,25312898590971034;0,59158012057169662
T;-0,22252021859078708;0,45545261949784832
PFE;0,24818905726537066;-0,06907913994363313
MRK;0,39953863587794691;0,22271437545333406
XOM;-0,15093303833378546;0,07232866781343694
DIS;0,03607817693607696;0,33513502550621999
BAC;-0,14996567607410560;0,46190207572933240
PEP;-0,04812869562962041;0,27375925194320883
WMT;-0,07950663291139248;0,30738910294886446
KO;0,06773481154133987;0,20599437845276203
CVX;-0,09747426786787927;0,15273665670373915
ADBE;0,29102943702837725;0,45778814847533278
CMCSA;-0,12710810106508064;0,34042570764360702
ABT;0,29061844544464144;0,22080186615397412
BMY;-0,12895703930722868;0,27738106965001474
AMGN;0,15233078980956938;0,27601080485317819
MCD;0,00108785153055568;0,14684679289963198
COST;0,10599293860666048;0,45700697547187774
LLY;0,40451617565855935;0,16139951759456372
MDT;0,09646180804953564;0,28135199320717375
ABBV;-0,02395787299198060;0,02964463011818830
ACN;-0,06228690285385108;0,51213606990092631
PM;-0,33296108581922079;0,35021300684344570
ORCL;-0,02969571733451792;0,19343278985100776
UNP;0,05262127470028166;0,33699861420983512
NKE;0,19868179512453432;0,38094061353724773
WFC;-0,27750769004475651;0,22736874015410136
AMT;0,13323266761604668;0,48187314373645052
AVGO;-0,06272532649416884;0,31245244893078405
TXN;-0,13294292162116206;0,41670107008366153
DHR;0,11804508632815791;0,49553816165663989
GILD;-0,09919871810353309;0,07880627494177284
C;-0,28486278937037568;0,57820404117664914
LIN;-0,01472807152247535;0,39696458419092062
LMT;-0,16345888030680100;0,52546622960806455
QCOM;-0,07588790618057362;0,60764116990432115
MMM;-0,16899125636285306;-0,04290805068300185
SBUX;0,14736060099147097;0,39085255239524752
LOW;0,01216767662175133;0,32234375968303230
CHTR;-0,15177399501716260;0,70221421657643179
FIS;0,07471025931385955;0,37550144144327335
MO;-0,36941476715223265;0,10836988259451563
BA;0,11501654793510641;0,03338231416892357
SPGI;-0,00894477009249484;0,62641328649564643
INTU;0,25858389016223482;0,34113500551733011
CI;-0,06463049871087534;0,07697950290914268
ANTM;0,18109927168335771;0,16334795391125456
VRTX;0,10576542035389402;0,32128409722413442
NOW;0,36551886161146463;0,58562202888589665
CCI;0,01752510746472846;0,35450888826187832
PLD;-0,06248407379260668;0,55865678851374967
